"climate_worry","age","gender","income","right_orientation","region","happiness","life_satisfaction","year","expo","years_education"
5,47,TRUE,6,5,"Zala",7,7,"1",-0.0750955939292908,11
3,60,FALSE,5,5,"Zala",8,7,"1",-0.0691065073013306,11
4,65,FALSE,6,10,"Zala",9,9,"1",-0.0930628538131714,18
4,42,FALSE,8,3,"Zala",9,8,"1",-0.0571283340454102,11
4,55,TRUE,4,5,"Zala",9,8,"1",-0.0631174206733704,14
3,82,FALSE,1,5,"Békés",6,5,"1",-0.0571283340454102,13
3,51,FALSE,6,8,"Békés",9,7,"1",-0.0571283340454102,13
1,23,FALSE,3,7,"Békés",6,3,"1",-0.0631174206733704,10
3,54,TRUE,8,5,"Békés",7,8,"1",-0.0750955939292908,11
2,73,FALSE,7,9,"Békés",8,8,"1",-0.0870737671852112,13
2,40,FALSE,10,5,"Békés",9,7,"1",-0.0631174206733704,16
3,45,TRUE,7,7,"Békés",9,8,"1",-0.0631174206733704,11
2,60,TRUE,9,6,"Békés",8,8,"1",-0.0750955939292908,14
2,64,TRUE,7,5,"Békés",6,8,"1",-0.0571283340454102,11
3,61,FALSE,4,5,"Békés",6,6,"1",-0.0691065073013306,11
2,47,FALSE,7,6,"Békés",8,8,"1",-0.0750955939292908,13
2,79,FALSE,5,6,"Békés",2,3,"1",-0.0571283340454102,11
3,70,FALSE,1,10,"Hajdú-Bihar",8,8,"1",-0.0930628538131714,14
3,60,TRUE,1,10,"Hajdú-Bihar",10,5,"1",-0.0930628538131714,11
3,17,FALSE,9,3,"Hajdú-Bihar",10,10,"1",-0.572189784049988,10
3,36,TRUE,2,7,"Jász-Nagykun-Szolnok",5,7,"1",-0.081084680557251,11
4,74,FALSE,2,4,"Jász-Nagykun-Szolnok",5,5,"1",-0.0750955939292908,10
4,66,FALSE,5,8,"Jász-Nagykun-Szolnok",5,6,"1",-0.0691065073013306,13
3,61,TRUE,2,3,"Jász-Nagykun-Szolnok",3,3,"1",-0.0571283340454102,11
3,23,FALSE,2,5,"Jász-Nagykun-Szolnok",5,5,"1",-0.081084680557251,13
4,83,TRUE,1,5,"Jász-Nagykun-Szolnok",1,1,"1",-0.0511392474174499,8
4,58,FALSE,2,6,"Jász-Nagykun-Szolnok",3,6,"1",-0.081084680557251,13
2,43,TRUE,3,6,"Jász-Nagykun-Szolnok",5,5,"1",-0.0631174206733704,11
3,41,FALSE,3,6,"Jász-Nagykun-Szolnok",5,6,"1",-0.081084680557251,11
2,21,TRUE,4,6,"Jász-Nagykun-Szolnok",8,8,"1",-0.0750955939292908,13
3,39,TRUE,5,7,"Fejér",7,7,"1",-0.0511392474174499,10
3,58,TRUE,2,3,"Fejér",3,3,"1",-0.0631174206733704,10
3,65,TRUE,5,8,"Fejér",8,8,"1",-0.0930628538131714,11
3,80,FALSE,1,5,"Fejér",7,7,"1",-0.0750955939292908,10
3,60,TRUE,1,7,"Baranya",5,5,"1",-0.0930628538131714,10
4,79,FALSE,7,2,"Baranya",6,5,"1",-0.0750955939292908,13
3,64,FALSE,9,7,"Baranya",7,8,"1",-0.0870737671852112,11
3,31,FALSE,7,5,"Baranya",7,8,"1",-0.0750955939292908,10
4,22,TRUE,4,7,"Baranya",8,7,"1",-0.0870737671852112,11
4,39,FALSE,5,9,"Pest",8,9,"1",-0.506309831142426,13
4,57,FALSE,9,5,"Fejér",8,8,"1",-0.0631174206733704,13
3,84,FALSE,1,7,"Borsod-Abaúj-Zemplén",6,7,"1",-0.0691065073013306,8
3,68,FALSE,6,5,"Borsod-Abaúj-Zemplén",8,7,"1",-0.0631174206733704,15
2,19,FALSE,8,5,"Borsod-Abaúj-Zemplén",10,10,"1",-0.0930628538131714,13
4,76,FALSE,3,8,"Borsod-Abaúj-Zemplén",8,7,"1",-0.0930628538131714,10
3,65,TRUE,10,6,"Borsod-Abaúj-Zemplén",5,7,"1",-0.0870737671852112,16
4,63,FALSE,7,5,"Borsod-Abaúj-Zemplén",8,8,"1",-0.0750955939292908,13
4,37,FALSE,3,6,"Baranya",5,2,"1",-0.0631174206733704,11
4,41,FALSE,9,6,"Baranya",8,8,"1",-0.081084680557251,13
4,66,FALSE,7,5,"Baranya",5,4,"1",-0.0930628538131714,13
3,41,TRUE,8,6,"Baranya",8,8,"1",-0.0691065073013306,13
4,23,FALSE,8,6,"Baranya",10,9,"1",-0.081084680557251,13
4,53,FALSE,7,5,"Baranya",6,6,"1",-0.0691065073013306,13
4,56,FALSE,7,8,"Baranya",8,8,"1",-0.081084680557251,14
3,18,FALSE,8,4,"Tolna",9,10,"1",-0.572189784049988,10
4,40,FALSE,8,7,"Tolna",9,9,"1",-0.0691065073013306,11
3,57,TRUE,5,7,"Tolna",9,5,"1",-0.081084680557251,11
3,73,TRUE,2,3,"Tolna",4,5,"1",-0.0511392474174499,11
4,76,FALSE,2,10,"Tolna",6,7,"1",-0.105041027069092,14
5,33,TRUE,8,5,"Tolna",7,7,"1",-0.0750955939292908,16
2,59,TRUE,1,6,"Borsod-Abaúj-Zemplén",7,6,"1",-0.0870737671852112,11
3,76,FALSE,2,6,"Borsod-Abaúj-Zemplén",6,6,"1",-0.081084680557251,10
3,55,TRUE,5,6,"Borsod-Abaúj-Zemplén",7,7,"1",-0.081084680557251,13
3,31,TRUE,8,6,"Borsod-Abaúj-Zemplén",7,7,"1",-0.0750955939292908,13
3,16,FALSE,6,8,"Borsod-Abaúj-Zemplén",8,8,"1",-0.081084680557251,10
2,82,FALSE,1,9,"Borsod-Abaúj-Zemplén",4,5,"1",-0.0750955939292908,8
